,title,title_link,area,level,school,end_date,office_name,keyword
0,채용 공고 제목 1,http://www.saramin.co.kr/,서울 강남구,신입·경력,대졸↑,2020.9.5,office_name1,"SI·시스템통합, DataMining, 솔루션업체 외"
1,채용 공고 제목 2,http://www.saramin.co.kr/,대전 유성구,경력무관,대졸↑,2020.9.15,office_name2,"반도체, LCD, 디스플레이 외"
2,채용 공고 제목 3,http://www.saramin.co.kr/,부산 남구,경력무관,대졸↑,2020.9.25,office_name3,"솔루션업체, 소프트웨어개발, SM 외"
3,채용 공고 제목 4,http://www.saramin.co.kr/,서울 양천구,경력무관,대졸↑,2020.9.28,office_name4,"KMS, DBMS, 시스템관리 외"
4,채용 공고 제목 5,http://www.saramin.co.kr/,서울 양천구,경력무관,대졸↑,2020.10.9,office_name5,"KMS, DBMS, 시스템관리 외"
5,채용 공고 제목 6,http://www.saramin.co.kr/,서울 구로구,신입·경력,대졸↑,2020.9.18,office_name6,"SI·시스템통합, 솔루션업체, ASP 외"
6,채용 공고 제목 7,http://www.saramin.co.kr/,강원 강릉시,경력 1~3년,초대졸↑,2020.10.5,office_name7,"무선통신, 빅데이터, 머신러닝 외"
7,채용 공고 제목 8,http://www.saramin.co.kr/,경기 화성시,경력무관,초대졸↑,2020.8.31,office_name8,"SI·시스템통합, 솔루션업체, 소프트웨어개발 외"
8,채용 공고 제목 9,http://www.saramin.co.kr/,서울 성동구,경력9년↓,초대졸↑,2020.9.11,office_name9,"하드웨어, 장비구축, 유지보수 외"
9,채용 공고 제목 10,http://www.saramin.co.kr/,서울 성동구,경력무관,학력무관,2020.10.18,office_name10,"인터넷금융, Java·JSP, Python 외"
10,채용 공고 제목 11,http://www.saramin.co.kr/,서울 서초구,경력2년↑,대졸↑,2020.9.7,office_name11,"전자, SW(소프트웨어), 머신러닝 외"
11,채용 공고 제목 12,http://www.saramin.co.kr/,부산 금정구,경력무관,학력무관,2020.10.9,office_name12,"솔루션업체, 소프트웨어개발, 인공지능(AI) 외"
12,채용 공고 제목 13,http://www.saramin.co.kr/,서울 성동구,경력 3~10년,대졸↑,2020.9.28,office_name13,"전자상거래, 쇼핑몰, 오픈마켓 외"
